,Unnamed: 0,portrait_50,categories2,profile_type,title,skills,country,description,name,last_activity,rate,member_since,portfolio_items_count,id,test_passed_count,feedback,worked,jobs,earned,accolade,success,availability
50,153,https://odesk-prod-portraits.s3.amazonaws.com/Users:michaeltavon:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=yrocImV1FK0c75Yc70B15nDS73M%3D&1481916867398430,Writing,Independent,"Ghostwriter, fictional writer, screenplay writer",fiction-writing--non-fiction-writing--book-writing--humor-writing--copy-editing--ghostwriting--screenwriting--creative-writing--academic-writing,United States,"Since 2014, I have been a: self-published author. professional proofreader, ghostwriter, and editor. I am currently pursuing a bachelor's degree in creative writing. In 2015, my short story collection, ""From a  Cold Dark Place"", earned a five star rating from readersfavorite.com.",Michael Tavon,2017-02-24,13.0,"April 23, 2015",2,https://www.upwork.com/freelancers/_~01f429bfe203d8e973,4,4.8214285714,1,,$400+,,83% Job Success,AvailableMore than 30 hrs/weekAvailableMore than 30 hrs/week
51,470,https://odesk-prod-portraits.s3.amazonaws.com/Users:fialka12:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=Io82S9Sntxz1XbYIBjPw%2BM%2FrPBM%3D&1441031885891363,Writing,Independent,copywriter/blogger/editor/proofreader/film editor,creative-writing--article-writing--copywriting--english--english-spelling--content-writing--editing--english-proofreading--feature-writing--fiction-writing,United States,"I studied film and creative writing at USC. After graduation, I was hired as a Copywriter/Proofreader for Corinthian Colleges, a Fortune 500 company based in Orange County, CA. While at Corinthian, I handled web ads, TV ads, radio ads, catalogues, brochures, and just about any other kind of marketing collateral you can think of. I am no stranger to deadlines. Twelve hour days and writing/proofing over 100 pieces of collateral per day were commonplace while at Corinthian. I have also published poetry, articles and stories with numerous small presses, including several stories with Seven Days in Vermont, a weekly arts paper. I currently write and blog for several luxury resorts in the Turks and Caicos Islands. I also blog for a self-help website located in the UK and a dating website located in the US. Please see below for film experience.",Vanessa H.,2017-02-24,17.0,"June 24, 2013",11,https://www.upwork.com/freelancers/_~0190d89d15b57a888b,0,4.9177718833,1,,$2k+,,69% Job Success,AvailableLess than 30 hrs/weekAvailableLess than 30 hrs/week
52,523,https://odesk-prod-portraits.s3.amazonaws.com/Users:akd545:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=fCesK%2F8xY5gIbdxUx5kYs3aTuxE%3D,Customer Service--Engineering & Architecture--Admin Support--Design & Creative--Writing,Independent,Blog and Article Writer,article-writing,United States,Building Specialist/Drafting and Design Instructor for Northshore Techinical Community College. Happily married middle aged male blessed with a wonderful family. 30 years construction and home improvement experience. Associate Degree in Occupational Education. Recently finished College English.,Alan Dykes,2017-02-24,11.11,"February 27, 2014",0,https://www.upwork.com/freelancers/_~01cfe9d82ea1ca9cc6,2,4.371586946,1,,$3k+,,69% Job Success,AvailableLess than 30 hrs/weekAvailableLess than 30 hrs/week
53,128,https://odesk-prod-portraits.s3.amazonaws.com/Users:steven_parker:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=ONpfe7OeiBgYufvpPrK1cA3CSBQ%3D&1436888121192423,Writing,Independent,Versatile writer,ebook-writing--recipe-writing--blog-writing--cover-design,United States,"Looking for unique, high-quality written content to give your business or blog the 'voice' you need to set yourself apart from the rest? As a freelance writer, I am dedicated to providing professional, engaging content to clients from every end of the spectrum. In the past, I have worked with small businesses, blogs, travel sites, non-profit organizations and NGOs to create content that drives traffic and dramatically improves their online presence. Whether you are looking for premium, original content or simply an editing eye to make your words really dazzle, I can help. I will provide you with the content you need quickly and professionally.",steven parker,2017-02-16,20.0,"July 14, 2015",1,https://www.upwork.com/freelancers/_~010dbb6e2a26895816,2,4.961972068,1,,$4k+,,100% Job Success,AvailableMore than 30 hrs/weekAvailableMore than 30 hrs/week< 24 hour response time< 24 hour response time
54,24,https://odesk-prod-portraits.s3.amazonaws.com/Users:mrdecesaris:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=%2BggYGBkdZWC%2B5AFJbieX34YHXVk%3D&1467983524365471,Translation--Writing,Independent,"Native English Editing, Proofreading, Writing, and Translation",english-proofreading--copy-editing--editing--translation-dutch-english--writing--ghostwriting,Netherlands,"Originally from the United States, I am an experienced independent copy/line editor and proofreader, specializing in the English language. Currently based out of the Netherlands, I provide services to foreign as well as native English speakers on any written text they need assistance with. My business, Unlimited Editions, provides services that include checking for proper grammar, page layout, sentence and paragraph structure, vocabulary, comprehensiveness of writing, as well as revising compositions for better flow and tailoring to the targeted audience of the original author.Some written works I am able to assist clients with include, but are not limited to: all academic papers, including theses and dissertations.. personal original compositions and written works.. CVs and rsums.. cover letters.. web content.. advertisements.. and more. I also provide short document (maximum ten pages) Dutch-to-English text translation.I also have a passion for my own creative and content writing. In my writing I have an affinity for creativity and extend my passion through my work by composing engaging articles that capture the audience, and my proofreading skills are flawless. My dream career is to be a professional editor and writer, and I look forward to doing business with you!",Maggie DeCesaris,2017-02-23,12.5,"July 8, 2016",2,https://www.upwork.com/freelancers/_~01352ae4efcc0aceee,3,4.6,1,,$300+,,,AvailableAs Needed - Open to OffersAvailableAs Needed - Open to Offers
55,818,https://odesk-prod-portraits.s3.amazonaws.com/Users:mamainak:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=KdeRmbKDe%2Fwjf%2B0B8DS5jQeA%2B3c%3D,Customer Service--Writing--Admin Support,Independent,Customer service and Travel planning,customer-service--travel-agent--travel-planning--customer-support--internet-research--social-media-management--virtual-assistant--hospitality--administrative-support--tourism,Croatia,"My educational background lies in Tourism and Hospitality, Sociology and English language, while my work experience includes customer service-orientated positions, such as: hotel receptionist, customer support, front desk agent at the travel agency, reservations agent for holiday rentals (both through an agency and via internet) and sales positions. I am proficient with all major booking portals, as well as other travel planning services and apps (including TripAdvisor, Skyscanner, Kayak etc.).As a frequent traveller who plans her own trips, I understand the needs and problems of the clients in travel/tourism and hospitality industry.I am also experienced in maintaining online presence and updating business pages on social networks, helping to promote the business.I've been working as a Customer Service Manager and can deliver friendly, helpful and courteous service, as well as provide you with feedback in order to improve service.I can help you with:- Admin/PA -Research a certain topic, collect and compile information, plan a trip (booking flights, accommodation, transfer/taxi, museum/gallery tickets, restaurants...), proof-read and format your writing, email handling, etc.- Customer service/support - Replying to customer enquiries, dealing with complaints and troubleshooting the issues- Travel planning - Collect and present information on the destination, plan a trip (booking flights, accommodation, transfer/taxi, museum/gallery tickets, restaurants...), itinerary creation.- Tourism/Accommodation business -Listing and Management of your online accommodation/holiday rental business, as well as providing customer service. I cover Airbnb, Booking.com, Holiday Lettings, Wimdu, HouseTrip, TripAdvisor. - Online business presence/Social Network administration -Listing and managing your business on TripAdvisor, Google Pages, Facebook pages, Pinterest, Twitter, maintaining your Wordpress powered blog/website, establishing communication with your customers via email and social networks- Tutoring - Introduction to Internet services and portals. Not sure how to use Etsy, Facebook, sell or buy online, or how to use commonly used software?I can give instructions via Skype screensharing or TeamViewer)",Tamara S.,2017-02-24,14.0,"March 4, 2013",1,https://www.upwork.com/freelancers/_~0196be8d3533ac1949,4,4.9379310345,1,,$100+,,,AvailableMore than 30 hrs/weekAvailableMore than 30 hrs/week
56,67,https://odesk-prod-portraits.s3.amazonaws.com/Users:mjosdal:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=b%2FXS9uFdmrFb1Ciryka9g8oZkj8%3D,Translation--Design & Creative--Writing--Sales & Marketing,Independent,"Content writer, editor and voice actor",article-writing--copywriting--proofreading--copy-editing--voice-talent--content-writing--blog-writing,Canada,"I have worked as a professional writer for well over decade, and am experienced in writing everything from e-books to ad copy. My work has included regular blogging for high-profile real-estate companies and government agencies, e-book writing on technical and casual topics, academic writing, magazine publication, and a wide range of tutorial and instructional materials. I hold a degree in Drama and am en-route to completing another in Psychology. I offer quick turnaround times and am always available for direct consultation on any project. In addition, I'm a professional voice actor with a high quality home studio. My clients have included Audible, Microsoft, and Oakley, among others, and I have narrated audiobooks by New York Times best-selling author Piers Anthony. I can turn around writing or voice projects quickly, and will do my best to see that you are totally satisfied with the final product.",Matt J.,2017-02-19,27.78,"May 6, 2008",2,https://www.upwork.com/freelancers/_~0145885e1467b85684,3,4.9113879321,1,,$60k+,TOP RATED,98% Job Success,AvailableMore than 30 hrs/weekAvailableMore than 30 hrs/week3+ day response time3+ day response time
57,136,https://odesk-prod-portraits.s3.amazonaws.com/Users:emilyspiliadis:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=Ch50K%2FeRrXl0f5ZGdDeUE1qTvdU%3D&1438892372376241,Translation--Writing--Admin Support,Independent,Native French & English translator/writer + marketing,microsoft-office--french--english--translation-english-french--translation-french-english--english-grammar--creative-writing--article-rewriting--proofreading--content-writing,United States,"Native French and English as I grew up speaking both languages. Reliable, professional, serious, and flexible with 5 years of experience translating, proof-reading, and writing in French and English, on top of solid administrative experience in a multinational environment topped with three years of Digital Marketing and SEO experience.Born and raised in Switzerland, I am now back in the U.S. after four years in Switzerland where I graduated with a Bachelor in Business Administration & Marketing, followed by a year working for a start-up company (in English and French) with assignments ranging from blog articles and translation, to social media, press releases, and SEO-friendly website content.To-date, I have (writing/translating) experience working with:EssaysUniversity projectsBlog articlesNewslettersWebsite contentPress releasesAdvertisementCorporate communicationFinancial documentsTechnical documentsFrom blog articles, to social media, press releases, corporate documents and SEO-friendly website content, I bring to the table extensive writing, translating marketing experience.I am honest, reliable, professional, serious, and flexible in my work. I take great pride in every project I undertake and look forward to working with you!",Emily S.,2017-02-24,15.0,"June 15, 2014",2,https://www.upwork.com/freelancers/_~01c376a4ffb166fbb7,2,4.8657407407,1,,$200+,,91% Job Success,AvailableMore than 30 hrs/weekAvailableMore than 30 hrs/week
58,149,https://odesk-prod-portraits.s3.amazonaws.com/Users:evelinacretu:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=8wpHSQ2vS%2BmOF3yvJmvo6c4Gxyg%3D&1444730190465247,"Translation--Writing--Web, Mobile & Software Dev--Customer Service--Admin Support",Independent,Striving for excellence is the key to success,creative-writing--online-writing--translation-english-russian--event-planning,Moldova,"I am a Freelance writer with a background in business and non-fiction writing/editing. I have a lot of experience in writing for local web sites, translation and proofreading.I love to read, write and create constantly.",Evelina Cretu,2017-02-24,10.0,"July 11, 2011",0,https://www.upwork.com/freelancers/_~0102e340787fe2e8f1,0,5.0,1,1,$5+,,,AvailableMore than 30 hrs/weekAvailableMore than 30 hrs/week
59,719,https://odesk-prod-portraits.s3.amazonaws.com/Users:stchambers:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=8lvxyNgcSxiidqjiyaYjZii1wE8%3D&1452463616625632,Writing,Independent,"Quality, living SEO content.  ",content-writing--creative-writing--ghostwriting--seo-writing--english--google-analytics,United Kingdom,"Quality, living content, SEO primed. Seamlessly embedded organic keywords. Long click copy. Comprehensive research. Experienced creative writer. HTML titles.. description tags.. headlines. Link and authority building. Social media savvy.      ",Steven C.,2017-02-18,16.5,"August 7, 2013",4,https://www.upwork.com/freelancers/_~01f9438313779bdd48,2,4.9820294717,1,,$600+,,94% Job Success,AvailableAs Needed - Open to OffersAvailableAs Needed - Open to Offers< 3 day response time< 3 day response time
