,profileid,id,name,MessageTime,MessageText,ProposalAmount
0,'014b7cbde21cf170b8,https://www.upwork.com/freelancers/~014b7cbde21cf170b8,Ahana S.,,,
1,'0144f3074ded347d36,https://www.upwork.com/freelancers/~0144f3074ded347d36,Angelica B.,,,
2,'015b9ebf8cf189bc43,https://www.upwork.com/freelancers/~015b9ebf8cf189bc43,Marilyn B.,,,
3,'01ccf547faea7d2255,https://www.upwork.com/freelancers/~01ccf547faea7d2255,Meghan P.,,,
4,'01b886b136ebd5e96f,https://www.upwork.com/freelancers/~01b886b136ebd5e96f,Jessica S.,,,
5,'010f44ffb23c97e4f3,https://www.upwork.com/freelancers/~010f44ffb23c97e4f3,Laurentiu B.,,,
6,'01f7ac9337e564e82a,https://www.upwork.com/freelancers/~01f7ac9337e564e82a,Ming Wei C.,,,
7,'0173b069fe6d52d4c4,https://www.upwork.com/freelancers/~0173b069fe6d52d4c4,Alice N.,,,
8,'0137ded6b314d5243a,https://www.upwork.com/freelancers/~0137ded6b314d5243a,Stella M.,,,
9,'0152919040867f33e7,https://www.upwork.com/freelancers/~0152919040867f33e7,Adriana U.,,,
10,'012cfd024a5981257d,https://www.upwork.com/freelancers/~012cfd024a5981257d,Melissa J.,,,
11,'01fd95e01a446edc58,https://www.upwork.com/freelancers/~01fd95e01a446edc58,Mary B.,,,
12,'01b7dabc61e1ce0e59,https://www.upwork.com/freelancers/~01b7dabc61e1ce0e59,Daniel C.,,,
13,'01ba800f137180b8d2,https://www.upwork.com/freelancers/~01ba800f137180b8d2,Jose Miguel Mota M.,,,
14,'0163f610339e99dd27,https://www.upwork.com/freelancers/~0163f610339e99dd27,Nikka Ann A.,,,
15,'016a0bb55fa917687f,https://www.upwork.com/freelancers/~016a0bb55fa917687f,Dana H.,,,
16,'01528735f1c55dbf89,https://www.upwork.com/freelancers/~01528735f1c55dbf89,Melissa D.,,,
17,'018240a53965070934,https://www.upwork.com/freelancers/~018240a53965070934,Abida A.,,,
18,'01333a7cc4f88552d6,https://www.upwork.com/freelancers/~01333a7cc4f88552d6,Valerie L.,,,
19,'01d5e3af251d7dc23e,https://www.upwork.com/freelancers/~01d5e3af251d7dc23e,Christy M.,,,
20,'016ec7d3586281cdfc,https://www.upwork.com/freelancers/~016ec7d3586281cdfc,Monika H.,,,
21,'01ecda6c1b09e4ae44,https://www.upwork.com/freelancers/~01ecda6c1b09e4ae44,Leonard O.,,,
22,'01a715a597526dbf91,https://www.upwork.com/freelancers/~01a715a597526dbf91,Harold H.,,,
23,'017a5a5e0ea3117d17,https://www.upwork.com/freelancers/~017a5a5e0ea3117d17,Diedra T.,,,
24,'010b3c6aa3e37a2062,https://www.upwork.com/freelancers/~010b3c6aa3e37a2062,Ana V.,,,
25,'019b919e2c82a2c3d5,https://www.upwork.com/freelancers/~019b919e2c82a2c3d5,Olga R.,,,
26,'019fa9dd6fac2c6b59,https://www.upwork.com/freelancers/~019fa9dd6fac2c6b59,Styliani S.,,,
27,'01ac290e95b7dae2df,https://www.upwork.com/freelancers/~01ac290e95b7dae2df,Katy R.,,,
28,'01fff3a3f51220a58c,https://www.upwork.com/freelancers/~01fff3a3f51220a58c,Virginia G.,"Friday, June 9, 2017 11:21 AM","Hello Steven,----Thank you for considering me for the job. Yes, I would like to write the article. If you start a contract, I'm ready to start immediately.----Best regards,--Virginia Gaces----Go to the proposal.",$20.00 / hr
29,'01e343c723754f9274,https://www.upwork.com/freelancers/~01e343c723754f9274,Joshua K.,"Sunday, June 11, 2017 11:20 PM","Hi Steven, thanks for the invite. I've been freelance writing for about five months and am familiar with the topic.----I'm great at doing research and spinning the information in an interesting way, especially when it comes to a topic I have personal experience with.----I could have an article of this size done by the end of the week - let me know if you'd like a few samples of my writing to see if I'd be a good fit.----Thanks again, and I hope to hear from you soon!----Best,--Josh----Go to the proposal.",$25.00 / hr
30,'012f448759d3b1e970,https://www.upwork.com/freelancers/~012f448759d3b1e970,Bogdan R.,,,
31,'01313b7ba33c111638,https://www.upwork.com/freelancers/~01313b7ba33c111638,John C.,,,
32,'013af4a59eb3f2e78a,https://www.upwork.com/freelancers/~013af4a59eb3f2e78a,Ria C.,"Friday, June 9, 2017 12:15 PM","Good Day, Mr. Steven!----Thank you very much for the invitation.--Yes, I would love to collaborate with you on this project.--God bless you and your family!----All the best,--Ria----Go to the proposal.",$20.00 / hr
33,'011c372720ce8f60a2,https://www.upwork.com/freelancers/~011c372720ce8f60a2,Adrian B.,"Friday, June 9, 2017 10:27 AM","Hi there, I'd definitely be interested in this. I've been freelancing for several years now and could bring a couple of interesting points and perspectives into this, perhaps also briefly discuss the ""digital nomad"" culture that's emerging. For writing gigs I normally charge a flat rate of $0.10 per word, so that would be $80 for 800 words, does work for you?----Adrian----Go to the proposal.",$20.00 / hr
34,'01c32f8d9dc6da1e96,https://www.upwork.com/freelancers/~01c32f8d9dc6da1e96,Dr. Mehmood A.,,,
35,'01062ce1155de3fdf4,https://www.upwork.com/freelancers/~01062ce1155de3fdf4,Zofia R.,,,
36,'01e53d6680f80cdbf0,https://www.upwork.com/freelancers/~01e53d6680f80cdbf0,Lucia R.,,,
37,'01b5e0c0159614f8f5,https://www.upwork.com/freelancers/~01b5e0c0159614f8f5,Steffen P.,,,
38,'015ee52cd45062e34c,https://www.upwork.com/freelancers/~015ee52cd45062e34c,Erin H.,,,
39,'01f0da2708368fe27b,https://www.upwork.com/freelancers/~01f0da2708368fe27b,Maria B.,,,
40,'0124a77f53c2aa82bf,https://www.upwork.com/freelancers/~0124a77f53c2aa82bf,Kelley C B.,,,
41,'0145a520b3711a8bea,https://www.upwork.com/freelancers/~0145a520b3711a8bea,Haley S.,"Friday, June 9, 2017 11:20 AM",Hello!----Thanks for reaching out. I'd love to help you out on this project.----Here are some samples of my work:----http://thenatpath.com/natural-news/vitamin-c-therapy/--http://thenatpath.com/natural-news/food-can-linings-contain-toxic-bpa-linings-study-finds/----You can also check out more samples in my profile.----Thanks!--Haley----Go to the proposal.,$20.00 / hr
42,'01aa89bfab3e0aeadf,https://www.upwork.com/freelancers/~01aa89bfab3e0aeadf,Rupert B.,,,
